match_no,team,coverage,jersey,player,dist_m,z1,z2,z3,z4,z5,hsr,sprints,top_speed
55,Ivory Coast,1.0,24,BazoumanaToURE,3173.4,976.9,1227.6,617.7,213.2,138.0,40.0,18.0,30.4
55,Ivory Coast,1.0,26,Christ Inao OULAI,5009.2,1849.3,2311.2,623.0,200.8,24.9,58.0,17.0,26.4
58,Tunisia,1.0,16,Aymen DAHMEN,3813.1,3208.4,532.6,72.0,,,7.0,,19.7
58,Tunisia,1.0,2,AliABDI,10148.8,3941.2,4069.6,1348.3,634.1,155.5,127.0,45.0,32.3
58,Tunisia,1.0,3,MontassarTALBI,10017.6,3828.0,4697.0,1138.1,262.0,92.5,100.0,22.0,30.6
58,Tunisia,1.0,9,HazemMASTOURI,10041.1,3896.7,4212.0,1235.7,460.8,235.9,106.0,39.0,34.8
58,Tunisia,1.0,10,Hannibal MEJBRI,10564.8,3689.3,4362.4,1742.0,546.2,225.0,149.0,40.0,31.3
58,Tunisia,1.0,11,Ismael GHARBI,8956.1,2699.5,4317.9,1139.0,573.3,226.4,101.0,34.0,31.0
58,Tunisia,1.0,13,Rani KHEDIRA,8220.1,2442.3,4466.3,1075.5,189.1,46.9,93.0,16.0,28.1
58,Tunisia,1.0,17,Ellyes SKHIRI,9836.9,3988.3,4667.9,878.7,240.8,61.3,77.0,22.0,31.2
58,Tunisia,1.0,20,Yan VALERY,10665.4,3799.2,4649.1,1145.4,658.2,413.5,94.0,43.0,33.1
58,Tunisia,1.0,21,MohamedAmineBENHMIDA,7296.2,2986.0,3463.9,551.3,203.1,92.0,46.0,20.0,33.8
58,Tunisia,1.0,25,Anis SLIMANE,8605.8,2324.1,4333.6,1246.0,504.8,197.3,123.0,36.0,30.3
58,Tunisia,1.0,7,EliasACHOURI,3016.1,1268.5,1033.2,442.3,197.3,74.8,33.0,17.0,30.3
58,Tunisia,1.0,12,MortadhaBENOUANES,3379.0,868.8,1659.0,580.5,196.6,74.2,38.0,18.0,28.6
58,Tunisia,1.0,15,MohamedHADJMAHMOUD,3364.0,1043.6,1530.7,445.8,224.0,119.9,37.0,18.0,29.8
58,Tunisia,1.0,19,FirasCHAOUAT,2418.8,750.6,1061.4,324.4,161.1,121.4,25.0,13.0,34.4
58,Tunisia,1.0,26,SebastianTOUNEKTI,754.4,201.3,361.0,105.8,59.3,27.1,9.0,6.0,29.0
59,United States,1.0,1,MattTURNER,5939.1,4187.0,1514.2,211.5,15.0,11.4,20.0,2.0,28.3
59,United States,1.0,6,Auston TRUSTY,11088.0,3421.5,5530.4,1378.0,495.2,262.9,122.0,37.0,31.9
59,United States,1.0,7,GiovanniREYNA,9909.8,2849.8,4579.7,1845.5,585.9,48.9,159.0,40.0,27.3
59,United States,1.0,8,WestonMcKENNIE,10855.3,3491.9,4501.2,1829.4,693.1,339.7,158.0,43.0,31.3
59,United States,1.0,9,RicardoPEPI,11622.7,3746.8,4820.6,2132.1,666.8,256.4,155.0,52.0,31.4
59,United States,1.0,11,BrendenAARONSON,10271.7,3130.7,4282.5,1566.5,826.6,465.3,127.0,70.0,32.4
59,United States,1.0,12,MilesROBINSON,11909.0,3704.7,5705.2,1651.2,582.8,265.1,134.0,43.0,34.3
59,United States,1.0,14,SebastianBERHALTER,12799.1,3470.8,5811.4,2614.5,774.9,127.5,212.0,46.0,30.7
59,United States,1.0,21,Timothy WEAH,7559.4,2306.4,2917.7,1491.8,655.0,188.4,116.0,50.0,31.1
59,United States,1.0,22,Mark McKENZIE,11338.0,3953.1,4729.0,1704.6,710.3,241.0,148.0,50.0,33.0
59,United States,1.0,23,JoeSCALLY,9540.0,2992.4,4103.0,1432.4,634.8,377.4,137.0,46.0,31.8
59,United States,1.0,2,Sergino DEST,2819.4,740.2,1206.5,533.2,202.5,136.9,40.0,18.0,32.9
59,United States,1.0,10,ChristianPULISIC,4955.8,1594.5,2183.4,738.5,287.8,151.5,67.0,24.0,32.4
59,United States,1.0,16,AlexFREEMAN,2513.3,745.8,1180.0,323.1,167.4,96.9,30.0,11.0,29.8
59,United States,1.0,17,Malik TILLMAN,1432.0,402.0,636.8,295.7,77.0,20.5,22.0,4.0,26.8
59,United States,1.0,26,Alex ZENDEJAS,3064.7,655.7,1416.2,654.9,287.6,50.4,53.0,20.0,27.9
60,Paraguay,1.0,12,Orlando GILL,6144.0,4926.2,1112.9,100.7,4.2,,10.0,,20.4
60,Paraguay,1.0,2,GustavoVELAZQUEZ,8933.4,4111.0,3758.1,749.3,264.8,50.2,70.0,19.0,28.4
60,Paraguay,1.0,3,OmarALDERETE,8292.0,3760.9,3229.7,895.6,324.1,81.7,89.0,29.0,32.1
60,Paraguay,1.0,4,JuanJoseCACERES,10661.4,3979.9,4426.9,1651.4,453.2,150.0,147.0,35.0,32.3
60,Paraguay,1.0,8,DiegoGOMEZ,11147.4,3923.8,4467.8,1787.6,762.2,206.1,150.0,59.0,32.7
60,Paraguay,1.0,14,Andres CUBAS,11613.0,3411.0,5704.8,1890.9,476.3,129.9,166.0,40.0,29.8
60,Paraguay,1.0,15,Gustavo GOMEZ,9012.6,4471.3,3429.8,768.2,227.7,115.6,76.0,18.0,32.3
60,Paraguay,1.0,19,Julio ENCISO,10611.2,3511.7,4491.7,1467.0,732.3,408.6,124.0,61.0,31.2
60,Paraguay,1.0,21,GabrielAVALOS,7969.4,2939.1,3556.9,1033.5,344.2,95.8,80.0,32.0,29.6
60,Paraguay,1.0,23,Matias GALARZA,11215.7,3747.6,4554.9,1776.3,877.0,259.9,154.0,66.0,29.9
60,Paraguay,1.0,26,AlexandroMAIDANA,6055.9,1820.8,2912.3,779.9,373.8,169.1,71.0,25.0,30.6
60,Paraguay,1.0,6,JuniorALONSO,466.9,142.6,211.9,86.4,26.1,,8.0,2.0,23.7
60,Paraguay,1.0,11,MAURICIO,5790.1,1721.4,2651.5,1014.8,317.6,84.8,95.0,27.0,29.8
60,Paraguay,1.0,13,Jose CANALE,1216.8,529.9,558.2,128.7,,,14.0,,19.4
60,Paraguay,1.0,16,DamianBOBADILLA,578.2,165.1,224.8,125.1,60.0,3.1,10.0,5.0,25.4
60,Paraguay,1.0,18,AlexARCE,3357.5,948.4,1354.4,715.2,255.2,84.2,55.0,19.0,29.6
61,Norway,1.0,13,Egil SELVIK,4989.6,4119.4,807.5,58.1,4.6,,5.0,,22.5
61,Norway,1.0,4,Leo OSTIGARD,9964.1,4018.5,4383.8,1008.5,354.4,198.9,82.0,26.0,31.8
61,Norway,1.0,6,PatrickBERG,11681.2,3596.4,5303.8,1719.5,683.5,377.9,148.0,46.0,31.9
61,Norway,1.0,11,JorgenSTRANDLARSEN,9812.0,4390.3,3607.2,1088.4,544.2,181.9,101.0,41.0,30.6
61,Norway,1.0,14,FredrikAURSNES,11145.8,3809.2,4949.3,1426.3,668.1,292.8,128.0,44.0,32.9
61,Norway,1.0,15,FredrikAndreBJORKAN,5776.8,1743.6,2710.8,756.3,399.3,166.8,70.0,29.0,31.0
61,Norway,1.0,18,KristianTHORSTVEDT,6267.2,2172.4,2491.3,1075.7,495.1,32.8,92.0,29.0,27.9
61,Norway,1.0,19,TheloAASGAARD,11185.0,3584.6,5313.6,1533.3,584.2,169.2,127.0,39.0,29.1
61,Norway,1.0,21,AndreasSCHJELDERUP,9325.5,3568.7,3754.3,1308.8,606.6,87.1,119.0,42.0,27.7
61,Norway,1.0,22,OscarBOBB,9082.9,3310.9,3990.4,1274.0,360.4,147.1,111.0,35.0,34.2
61,Norway,1.0,25,Henrik FALCHENER,6892.0,2763.1,2942.1,729.6,269.1,188.2,64.0,23.0,33.2
61,Norway,1.0,2,MortenTHORSBY,6152.6,1753.8,2715.4,1148.2,389.1,146.0,107.0,30.0,29.8
61,Norway,1.0,16,MarCUSHOLMGRENPEDERSEN,5262.5,2281.5,2003.6,521.9,294.0,161.5,47.0,24.0,35.6
61,Norway,1.0,20,AntonioNUSA,1389.8,524.4,557.5,213.2,61.8,32.9,18.0,7.0,30.4
61,Norway,1.0,23,JensPetterHAUGE,1718.7,414.6,754.1,349.5,153.2,47.3,26.0,14.0,29.2
61,Norway,1.0,24,Sondre LANGAS,2880.7,1202.3,1201.6,226.5,122.1,128.3,26.0,11.0,35.5
63,Iran,1.0,1,AlirezaBEIRANVAND,4769.2,4181.7,513.4,64.8,9.3,,6.0,,21.5
63,Iran,1.0,4,ShojaKHALILZADEH,10071.8,4620.0,3924.6,1007.5,425.8,93.9,83.0,29.0,32.0
63,Iran,1.0,5,MiladMOHAMMADI,11393.9,4208.6,4456.0,1495.7,936.5,297.1,124.0,67.0,30.7
63,Iran,1.0,6,SaeidEZATOLAHI,11781.5,3999.1,5601.0,1777.7,394.9,8.8,146.0,21.0,25.8
63,Iran,1.0,8,MohammadMOHEBBI,11066.3,3888.7,3704.1,2336.4,902.2,234.9,183.0,61.0,31.3
63,Iran,1.0,9,MehdiTAREMI,10851.0,4018.7,4505.6,1354.9,711.9,260.0,120.0,56.0,34.0
63,Iran,1.0,13,Hossein KANANI,5372.7,2126.3,2446.1,557.2,190.6,52.5,53.0,13.0,28.1
63,Iran,1.0,14,SamanGHODDOS,8704.3,2401.5,4439.5,1377.9,435.9,49.6,113.0,31.0,28.7
63,Iran,1.0,19,Ali NEMATI,10837.5,4387.7,4406.6,1362.3,450.6,230.2,125.0,35.0,32.4
63,Iran,1.0,21,Mohammad GHORBANI,12481.9,3799.0,5706.0,2110.4,763.9,102.5,191.0,53.0,28.1
63,Iran,1.0,23,RaminREZAEIAN,11922.0,4089.0,4791.3,1908.0,917.0,216.7,168.0,70.0,31.6
63,Iran,1.0,2,SalehHARDANI,5015.5,2238.4,1890.7,557.9,211.0,117.5,55.0,20.0,31.7
63,Iran,1.0,7,AlirezaJAHANBAKHSH,877.2,329.4,332.0,130.6,40.4,44.9,12.0,5.0,29.0
63,Iran,1.0,20,ShahriyarMOGHANLOO,3624.5,1289.8,1499.6,654.9,144.1,36.2,53.0,11.0,28.9
64,Belgium,1.0,1,ThibautCOURTOIS,5099.0,4043.0,898.8,126.1,21.2,10.0,9.0,2.0,26.5
64,Belgium,1.0,3,Arthur THEATE,10534.5,3849.2,5097.6,1207.0,323.4,57.3,94.0,29.0,31.5
64,Belgium,1.0,4,BrandonMECHELE,10930.6,3462.8,5182.7,1807.2,404.6,73.3,153.0,30.0,28.4
64,Belgium,1.0,5,MaximDE CUYPER,11590.5,3665.8,5126.0,1668.5,752.9,377.4,136.0,56.0,31.5
64,Belgium,1.0,7,KevinDEBRUYNE,8972.8,3010.1,3723.1,1466.0,574.7,198.8,109.0,42.0,31.7
64,Belgium,1.0,8,YouriTIELEMANS,10473.7,2909.4,4984.2,1818.6,575.0,186.5,142.0,43.0,29.8
64,Belgium,1.0,10,LeandroTROSSARD,8877.3,2771.7,3846.8,1475.4,572.0,211.5,122.0,50.0,33.2
64,Belgium,1.0,11,Jeremy DOKU,6438.5,2874.0,2136.2,989.8,335.4,103.1,89.0,27.0,34.7
64,Belgium,1.0,17,CharlesDEKETELAERE,9616.7,3510.0,3786.7,1351.3,738.2,230.6,112.0,62.0,31.8
64,Belgium,1.0,20,Hans VANAKEN,11686.0,4000.4,4876.0,1876.7,735.0,197.9,161.0,51.0,29.5
64,Belgium,1.0,21,TimothyCASTAGNE,12587.3,3667.3,5603.6,2019.9,957.4,339.1,170.0,75.0,32.6
64,Belgium,1.0,9,RomeluLUKAKU,1200.9,431.8,460.0,148.8,55.0,105.3,11.0,5.0,30.9
64,Belgium,1.0,22,AlexisSAELEMAEKERS,2932.9,892.9,1252.0,403.0,187.4,197.7,31.0,13.0,32.3
64,Belgium,1.0,23,NicolasRASKIN,1415.8,380.0,673.2,215.3,139.5,7.8,19.0,8.0,25.4
64,Belgium,1.0,24,AmadouONANA,2887.8,884.3,1321.5,479.8,146.5,55.6,40.0,11.0,30.4
64,Belgium,1.0,26,MatiasFERNANDEZ-PARDO,4605.6,1818.1,1561.7,530.1,370.2,325.5,46.0,32.0,34.8
65,Cape Verde,1.0,1,VOZINHA,5170.4,4216.6,848.6,93.2,11.9,,11.0,1.0,20.9
65,Cape Verde,1.0,3,DINEYBORGES,10621.2,4007.3,4738.6,1493.6,348.1,33.7,124.0,26.0,28.8
65,Cape Verde,1.0,4,PICOLOPES,10490.4,3798.9,4814.3,1270.8,420.1,186.3,110.0,40.0,30.9
65,Cape Verde,1.0,6,KEVIN PINA,11035.0,3452.5,5284.5,1672.0,546.3,79.8,143.0,45.0,30.1
65,Cape Verde,1.0,8,JOAOPAULO,10229.5,4126.1,4020.1,1231.5,552.0,299.8,104.0,48.0,32.1
65,Cape Verde,1.0,10,JAMIROMONTEIRO,8440.7,2889.3,3737.7,1139.0,517.1,157.6,105.0,32.0,28.8
65,Cape Verde,1.0,14,DEROYDUARTE,11089.3,3748.1,5180.8,1663.0,370.8,126.6,130.0,30.0,30.9
65,Cape Verde,1.0,17,WILLY SEMEDO,7581.8,2687.6,2978.5,1040.1,622.4,253.3,90.0,48.0,29.8
65,Cape Verde,1.0,19,DAILONLIVRAMENTO,7741.4,2550.9,3646.7,891.3,454.3,198.3,75.0,39.0,34.8
65,Cape Verde,1.0,20,RYAN MENDES,7971.5,2949.6,3059.1,1261.2,524.4,177.1,112.0,44.0,32.0
65,Cape Verde,1.0,24,WAGNERPINA,11150.2,3632.8,4332.9,1593.9,1013.4,577.3,134.0,74.0,32.2
65,Cape Verde,1.0,11,GARRYRODRIGUES,3101.9,888.5,1300.8,545.3,267.7,99.5,49.0,20.0,31.2
65,Cape Verde,1.0,15,LAROSDUARTE,3113.6,853.3,1573.3,447.9,148.6,90.5,42.0,11.0,31.8
65,Cape Verde,1.0,21,NUNODACOSTA,3420.3,1364.2,1409.8,357.3,193.9,95.1,28.0,16.0,30.1
65,Cape Verde,1.0,22,STEVENMOREIRA,277.4,46.7,158.1,68.6,4.0,,7.0,,20.2
65,Cape Verde,1.0,26,HELIO VARELA,4025.9,1177.7,1817.0,652.3,249.0,129.9,58.0,22.0,31.4
65,Saudi Arabia,1.0,21,MOHAMMEDALOWAIS,4360.5,3563.7,763.2,33.7,,,4.0,,18.3
65,Saudi Arabia,1.0,4,ABDULELAHALAMRI,9793.9,4179.9,3571.3,1237.2,574.3,231.2,109.0,46.0,31.6
65,Saudi Arabia,1.0,5,HASSANALTAMBAKTI,2840.0,1070.1,1289.2,353.9,103.0,23.8,32.0,9.0,30.3
65,Saudi Arabia,1.0,6,NASSERALDAWSARI,12459.0,3387.4,5070.6,2687.0,997.1,316.8,216.0,70.0,31.4
65,Saudi Arabia,1.0,9,FERASALBRIKAN,10843.9,4203.7,4211.9,1413.2,723.8,291.3,134.0,60.0,31.5
65,Saudi Arabia,1.0,10,SALEMALDAWSARI,7176.8,2982.4,2551.0,997.8,414.8,230.8,87.0,39.0,32.4
65,Saudi Arabia,1.0,12,SAUDABDULHAMID,10340.7,3859.6,4056.9,1340.0,629.0,455.2,117.0,49.0,32.7
65,Saudi Arabia,1.0,13,NAWAFBUWASHL,8573.4,3188.8,3697.1,990.7,425.9,271.0,82.0,39.0,32.6
65,Saudi Arabia,1.0,15,ABDULLAHALKHAIBARI,6261.2,1682.4,3039.6,1126.5,378.4,34.4,110.0,22.0,28.2
65,Saudi Arabia,1.0,20,SULTANMANDASH,8464.5,2777.6,3384.3,1232.4,789.2,281.1,107.0,50.0,33.1
65,Saudi Arabia,1.0,23,MOHAMEDKANNO,10329.4,4673.4,3491.6,1349.4,619.7,195.4,115.0,48.0,30.9
65,Saudi Arabia,1.0,3,ALI LAJAMI,6813.2,3327.0,2413.1,620.6,366.7,85.8,56.0,21.0,30.6
65,Saudi Arabia,1.0,7,MUSABALJUWAYR,6394.5,1859.3,2875.8,1219.4,406.5,33.6,98.0,28.0,29.5
65,Saudi Arabia,1.0,19,ABDULLAHALHAMDDAN,3783.1,1277.3,1366.7,700.4,373.2,65.4,56.0,26.0,31.6
65,Saudi Arabia,1.0,24,MOTEBALHARBI,1761.6,535.9,641.1,247.2,196.6,140.7,20.0,18.0,33.3
65,Saudi Arabia,1.0,26,MOHAMMEDABUALSHAMAT,3748.4,1070.5,1627.7,678.3,268.8,102.9,58.0,21.0,28.8
69,Austria,1.0,1,AlexanderSCHLAGER,5596.8,3782.2,1437.9,226.4,124.2,26.2,22.0,6.0,26.7
69,Austria,1.0,4,XaverSCHLAGER,5676.7,2087.4,2392.1,977.2,197.2,22.9,86.0,14.0,28.6
69,Austria,1.0,5,StefanPOSCH,10522.4,4337.1,4287.8,1270.3,427.9,199.3,113.0,35.0,28.6
69,Austria,1.0,6,Nicolas SEIWALD,11365.1,3637.6,5837.5,1400.9,374.2,114.9,127.0,26.0,29.5
69,Austria,1.0,7,MarkoARNAUTOVIC,4749.1,2085.2,1917.3,400.7,226.9,119.0,35.0,18.0,30.0
69,Austria,1.0,8,DavidALABA,6802.3,2612.0,3418.1,641.0,131.2,,63.0,8.0,23.7
69,Austria,1.0,9,Marcel SABITZER,10355.8,4582.5,3605.1,1215.2,622.4,330.6,103.0,53.0,31.0
69,Austria,1.0,15,Philipp LIENHART,10213.9,4080.6,4891.3,898.6,284.0,59.3,87.0,25.0,30.4
69,Austria,1.0,16,Phillip MWENE,10431.5,3847.6,4749.5,1084.0,493.6,256.9,93.0,35.0,31.7
69,Austria,1.0,18,Romano SCHMID,5875.4,1688.0,2710.6,1047.4,390.4,39.0,94.0,27.0,27.4
69,Austria,1.0,20,Konrad LAIMER,10888.3,4157.0,4809.5,1257.9,516.9,146.9,120.0,39.0,31.5
69,Austria,1.0,3,Kevin DANSO,3326.7,1336.7,1616.2,289.8,72.4,11.6,24.0,4.0,26.4
69,Austria,1.0,10,FlorianGRILLITSCH,5995.0,2305.7,2729.9,689.0,247.2,23.4,63.0,19.0,26.7
69,Austria,1.0,11,MichaelGREGORITSCH,5373.6,2026.3,2448.1,667.5,231.8,,61.0,20.0,25.0
69,Austria,1.0,14,Sasa KALAJDZIC,263.8,104.8,65.2,43.5,50.3,,4.0,3.0,22.1
69,Austria,1.0,24,Paul WANNER,5849.0,1788.6,3234.3,585.5,179.9,60.8,54.0,13.0,27.7
70,Jordan,1.0,1,YAZEEDABULAILA,4221.0,3662.1,520.2,31.8,6.9,,2.0,1.0,22.5
70,Jordan,1.0,3,ABDALLAHNASIB,9068.7,3853.1,3873.7,986.9,267.3,87.8,85.0,24.0,32.4
70,Jordan,1.0,4,HUSAMABUDAHAB,9659.4,3905.8,3948.1,1099.7,459.6,246.3,100.0,42.0,32.4
70,Jordan,1.0,5,YAZANALARAB,8831.5,3838.0,3791.7,823.2,276.1,102.5,77.0,29.0,30.8
70,Jordan,1.0,8,NOORALRAWABDEH,12305.2,3277.8,6457.7,1937.4,562.5,69.9,181.0,44.0,30.5
70,Jordan,1.0,9,ALIOLWAN,10463.7,3780.0,4868.0,1310.1,332.9,172.6,118.0,27.0,33.4
70,Jordan,1.0,11,ODEHFAKHOURY,5567.2,1746.4,2675.3,853.6,198.9,92.9,78.0,22.0,32.9
70,Jordan,1.0,20,MOHANNADABUTAHA,10526.2,3847.2,4378.4,1431.1,707.5,162.1,130.0,55.0,30.0
70,Jordan,1.0,21,NIZARALRASHDAN,8913.8,2514.9,4952.9,1059.0,303.5,83.4,97.0,24.0,30.2
70,Jordan,1.0,23,EHSANHADDAD,10630.2,4055.6,4609.2,1386.2,497.5,81.8,123.0,30.0,26.7
70,Jordan,1.0,24,ALI AZAIZEH,5804.0,1836.3,2743.8,877.7,302.6,43.5,83.0,24.0,28.1
70,Jordan,1.0,6,AMERJAMOUS,2137.0,535.0,962.5,467.5,152.2,19.8,48.0,10.0,27.1
70,Jordan,1.0,7,MOHAMMADABUZRAIQ,697.4,182.9,311.9,127.2,60.7,14.6,11.0,6.0,26.7
70,Jordan,1.0,10,MOUSAALTAMARI,5270.7,2127.3,1799.1,763.0,375.3,205.9,61.0,29.0,31.6
70,Jordan,1.0,13,MAHMOUDALMARDI,5904.1,1812.6,2524.0,1129.1,366.5,71.9,94.0,27.0,30.1
70,Jordan,1.0,17,SALEEM OBAID,610.5,179.1,292.4,84.0,55.0,,7.0,3.0,24.0
71,Colombia,1.0,12,Camilo VARGAS,4341.9,3640.6,660.8,25.9,12.4,2.1,2.0,1.0,25.1
71,Colombia,1.0,3,Jhon LUCUMI,7985.5,4002.6,2830.5,698.9,304.0,149.4,64.0,24.0,34.1
71,Colombia,1.0,4,SantiagoARIAS,9047.2,3941.6,3184.8,969.9,534.6,416.3,80.0,50.0,32.0
71,Colombia,1.0,7,Luis DIAZ,10476.6,4089.5,4374.1,1344.0,478.9,190.1,108.0,38.0,29.0
71,Colombia,1.0,9,JhonCORDOBA,5867.9,2987.1,2009.0,532.5,233.8,105.5,55.0,21.0,32.1
71,Colombia,1.0,10,JamesRODRIGUEZ,7876.7,3551.1,3325.5,832.8,143.3,24.1,80.0,11.0,26.8
71,Colombia,1.0,11,Jhon ARIAS,7943.3,3503.2,3001.0,864.3,434.8,140.0,74.0,35.0,30.0
71,Colombia,1.0,14,Gustavo PUERTA,11053.6,3905.5,4846.6,1555.7,644.5,101.2,137.0,41.0,30.3
71,Colombia,1.0,16,Jefferson LERMA,7245.9,2157.6,3188.9,1398.4,415.9,85.2,119.0,33.0,27.9
71,Colombia,1.0,22,DeiverMACHADO,10069.1,4321.7,3424.0,1347.4,698.7,277.3,117.0,56.0,34.0
71,Colombia,1.0,23,DavinsonSANCHEZ,8652.1,3953.4,3437.3,803.0,312.3,146.2,67.0,24.0,33.8
71,Colombia,1.0,2,DanieI MUNOZ,1158.0,309.4,438.1,198.0,146.6,65.9,15.0,13.0,31.6
71,Colombia,1.0,5,KevinCASTANO,2192.8,752.3,935.9,337.0,158.4,9.2,31.0,9.0,25.4
71,Colombia,1.0,6,Richard RIOS,3786.7,1533.2,1209.1,699.2,232.6,112.7,55.0,20.0,31.0
71,Colombia,1.0,20,JuanQUINTERO,2192.1,946.4,786.3,312.5,83.7,63.1,27.0,5.0,31.0
71,Colombia,1.0,25,Luis SUAREZ,3092.9,1555.9,968.6,261.4,167.4,139.7,19.0,15.0,34.4
72,DR Congo,0.966,12,AbduvohidNEMATOV,4748.8,3862.3,805.3,75.8,5.5,,9.0,1.0,22.1
72,DR Congo,0.966,2,AbdukodirKHUSANOV,9694.7,4088.6,4254.0,872.3,323.0,156.8,73.0,28.0,33.6
72,DR Congo,0.966,3,Khojiakbar ALIJONOV,10791.3,4186.6,4054.1,1713.6,639.4,197.6,151.0,58.0,29.9
72,DR Congo,0.966,5,RustamASHURMATOV,10073.1,3886.5,4729.6,1075.2,310.1,71.5,102.0,29.0,31.4
72,DR Congo,0.966,6,AkmalMOZGOVOY,9646.7,3476.4,4158.7,1501.6,449.5,60.5,122.0,34.0,29.6
72,DR Congo,0.966,7,OtabekSHUKUROV,7614.1,2476.3,3694.0,1163.3,224.7,55.8,99.0,22.0,29.3
72,DR Congo,0.966,13,Sherzod NASRULLAEV,11150.4,4192.4,4686.0,1455.3,593.8,222.9,123.0,50.0,31.6
72,DR Congo,0.966,14,EldorSHOMURODOV,10420.8,5125.0,3351.0,1020.4,572.0,352.4,87.0,57.0,32.7
72,DR Congo,0.966,17,DostonbekKHAMDAMOV,7875.3,2344.4,3739.6,1208.5,498.6,84.3,109.0,38.0,28.4
72,DR Congo,0.966,22,AbbosbekFAYZULLAEV,8738.0,2829.1,3554.2,1471.0,706.9,176.8,131.0,62.0,32.2
72,DR Congo,0.966,26,JakhongirUROZOV,8831.5,3391.0,4047.1,939.7,397.4,56.2,86.0,31.0,28.8
72,DR Congo,0.966,8,JamshidISKANDEROV,2148.9,518.4,1091.1,412.9,106.8,19.8,34.0,8.0,28.4
72,DR Congo,0.966,11,OstonURUNOV,3034.7,1107.2,1175.8,492.1,195.2,64.5,33.0,16.0,29.2
72,DR Congo,0.966,19,Azizjon GANIEV,4443.0,1673.1,1746.2,651.9,291.8,80.0,57.0,24.0,27.2
72,DR Congo,0.966,21,lgor SERGEEV,1991.0,553.7,946.2,385.9,105.1,,33.0,10.0,24.7
